id,ra,dec,frequency,flux,flux_err,upper_limit
1,2.45708,-43.28056,2.420E+23,2.796E-13,1.097E-13,
2,2.45708,-43.28056,4.110E+23,3.185E-13,7.423E-14,
3,2.45708,-43.28056,7.250E+23,2.872E-13,6.252E-14,
4,2.45708,-43.28056,1.210E+24,2.930E-13,7.372E-14,
5,2.45708,-43.28056,2.418E+24,3.320E-13,9.495E-14,
6,2.45708,-43.28056,4.110E+24,3.187E-13,1.174E-13,
7,2.45708,-43.28056,7.250E+24,2.289E-13,1.780E-13,
8,2.45708,-43.28056,1.210E+25,2.570E-13,0.000E+00,UL
9,2.45708,-43.28056,2.420E+25,4.190E-13,0.000E+00,UL
10,3.37,9.825,2.420E+23,2.040E-13,0.000E+00,UL
11,3.37,9.825,4.110E+23,1.670E-13,0.000E+00,UL
12,3.37,9.825,7.250E+23,2.486E-13,8.754E-14,
13,3.37,9.825,1.210E+24,2.992E-13,9.093E-14,
14,3.37,9.825,2.418E+24,2.434E-13,1.118E-13,
15,3.37,9.825,4.110E+24,1.137E-13,6.000E-14,
16,3.37,9.825,7.250E+24,9.970E-14,7.965E-14,
17,3.37,9.825,1.210E+25,2.570E-13,0.000E+00,UL
18,3.37,9.825,2.420E+25,4.190E-13,0.000E+00,UL
19,3.86625,35.61083,2.420E+23,1.174E-13,1.008E-13,
20,3.86625,35.61083,4.110E+23,1.335E-13,9.056E-14,
21,3.86625,35.61083,7.250E+23,1.473E-13,5.623E-14,
22,3.86625,35.61083,1.210E+24,1.009E-13,5.098E-14,
23,3.86625,35.61083,2.418E+24,1.990E-13,7.912E-14,
24,3.86625,35.61083,4.110E+24,2.022E-13,9.131E-14,
25,3.86625,35.61083,7.250E+24,3.295E-13,1.463E-13,
26,3.86625,35.61083,1.210E+25,4.683E-13,6.777E-14,
27,3.86625,35.61083,2.420E+25,4.190E-13,0.000E+00,UL
28,7.36917,20.8925,2.420E+23,2.040E-13,0.000E+00,UL
29,7.36917,20.8925,4.110E+23,1.670E-13,0.000E+00,UL
30,7.36917,20.8925,7.250E+23,1.440E-13,0.000E+00,UL
31,7.36917,20.8925,1.210E+24,6.916E-14,3.293E-14,
32,7.36917,20.8925,2.418E+24,2.098E-13,8.689E-14,
33,7.36917,20.8925,4.110E+24,3.235E-13,1.020E-13,
34,7.36917,20.8925,7.250E+24,4.364E-13,8.812E-14,
35,7.36917,20.8925,1.210E+25,3.103E-13,2.140E-13,
36,7.36917,20.8925,2.420E+25,4.190E-13,0.000E+00,UL
37,10.44583,-47.02667,2.420E+23,2.040E-13,0.000E+00,UL
38,10.44583,-47.02667,4.110E+23,9.900E-14,5.716E-14,
39,10.44583,-47.02667,7.250E+23,1.232E-13,4.593E-14,
40,10.44583,-47.02667,1.210E+24,1.239E-13,4.988E-14,
